account,custodian,location,quantity,description,cusip,contra_account,contra_custodian,contra_location,contra_description,user
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
layout:,,,,,,,,,,
field,required,type,description,,,,,,,
account,Y,string(16),account + account_type,,,,,,,
custodian,N, string(32), DTC or OCC; if not input system will set default value accoring to symbol info.,,,,,,,
location,N,string(32)," S-SEG,C-Collateral,''-Default; if not input system will set default value accoring to symbol info.",,,,,,,
quantity,Y,"decimal(30,10)",The cash input is positive and the cash output is negative,,,,,,,
description,Y,,,,,,,,,
cusip,O,string(32),cusip,,,,,,,
contra_account,Y,string(16),account + account_type,,,,,,,
contra_custodian,N, string(32), DTC or OCC; if not input system will set default value accoring to symbol info.,,,,,,,
contra_location,N,string(32)," S-SEG,C-Collateral,''-Default; if not input system will set default value accoring to symbol info.",,,,,,,
contra_description,Y,,,,,,,,,
user,O,string(32),Users of this flow,,,,,,,
